time	V(N001,N002)	V(a)
Step Information: C=1µ  (Run: 1/4)
0.000000000000000e+000	0.000000e+000	0.000000e+000
5.279999641061295e-006	3.344058e-001	6.900162e-008
1.055999928212259e-005	6.688091e-001	9.451183e-003
2.111999856424518e-005	1.337598e+000	2.341404e-001
4.223999712849036e-005	2.675066e+000	1.273014e+000
7.446655962849036e-005	4.715509e+000	3.231582e+000
1.066931221284904e-004	6.755285e+000	5.242168e+000
1.711462471284904e-004	1.083154e+001	9.287443e+000
3.322790596284904e-004	2.098896e+001	1.940634e+001
6.867712471284907e-004	4.301041e+001	4.138850e+001
1.041263434628491e-003	6.426485e+001	6.262150e+001
1.395755622128490e-003	8.437324e+001	8.271548e+001
1.750247809628489e-003	1.029770e+002	1.013087e+002
2.104739997128488e-003	1.197443e+002	1.180682e+002
2.459232184628487e-003	1.343762e+002	1.326940e+002
2.813724372128487e-003	1.466118e+002	1.449250e+002
3.168216559628486e-003	1.562328e+002	1.545427e+002
3.522708747128485e-003	1.630677e+002	1.613753e+002
3.877200934628484e-003	1.669945e+002	1.653009e+002
4.231693122128488e-003	1.679433e+002	1.662495e+002
4.586185309628492e-003	1.658972e+002	1.642039e+002
4.940677497128496e-003	1.608925e+002	1.592009e+002
5.295169684628500e-003	1.530187e+002	1.513297e+002
5.649661872128503e-003	1.424160e+002	1.407307e+002
6.004154059628507e-003	1.292736e+002	1.275934e+002
6.358646247128511e-003	1.138258e+002	1.121523e+002
6.713138434628515e-003	9.634818e+001	9.468344e+001
7.067630622128519e-003	7.715234e+001	7.549931e+001
7.422122809628523e-003	5.658063e+001	5.494405e+001
7.776614997128527e-003	3.499990e+001	3.338912e+001
8.034427497128524e-003	1.889032e+001	1.731363e+001
8.163333747128522e-003	1.075907e+001	9.215445e+000
8.227786872128521e-003	6.682723e+000	5.170413e+000
8.260013434628521e-003	4.642917e+000	3.160523e+000
8.292239997128520e-003	2.602426e+000	1.371079e+000
8.324466559628520e-003	5.615510e-001	3.284121e-001
8.356693122128519e-003	-1.479407e+000	5.877128e-001
8.388919684628519e-003	-3.520147e+000	2.078593e+000
8.421146247128518e-003	-5.560367e+000	4.062021e+000
8.485599372128517e-003	-9.638044e+000	8.101100e+000
8.614505622128515e-003	-1.777392e+001	1.620070e+001
8.904544684628511e-003	-3.589711e+001	3.428495e+001
9.097904059628507e-003	-4.775422e+001	4.612669e+001
9.452396247128502e-003	-6.878899e+001	6.714204e+001
9.806888434628496e-003	-8.859704e+001	8.693671e+001
1.016138062212849e-002	-1.068251e+002	1.051549e+002
1.051587280962849e-002	-1.231482e+002	1.214705e+002
1.087036499712848e-002	-1.372751e+002	1.355918e+002
1.122485718462847e-002	-1.489540e+002	1.472664e+002
1.157934937212847e-002	-1.579765e+002	1.562858e+002
1.193384155962846e-002	-1.641818e+002	1.624891e+002
1.228833374712846e-002	-1.674592e+002	1.657655e+002
1.264282593462845e-002	-1.677503e+002	1.660565e+002
1.299731812212845e-002	-1.650499e+002	1.633569e+002
1.335181030962844e-002	-1.594061e+002	1.577150e+002
1.370630249712843e-002	-1.509196e+002	1.492313e+002
1.406079468462843e-002	-1.397417e+002	1.380574e+002
1.441528687212842e-002	-1.260718e+002	1.243929e+002
1.476977905962842e-002	-1.101536e+002	1.084818e+002
1.512427124712841e-002	-9.227100e+001	9.060854e+001
1.547876343462841e-002	-7.274294e+001	7.109302e+001
1.583325562212841e-002	-5.191762e+001	5.028563e+001
1.618774780962843e-002	-3.016645e+001	2.856376e+001
1.641333374712843e-002	-1.601974e+001	1.445248e+001
1.651001343462844e-002	-9.915423e+000	8.376853e+000
1.657446655962844e-002	-5.838057e+000	4.335785e+000
1.660669312212844e-002	-3.797931e+000	2.340241e+000
1.663891968462844e-002	-1.757245e+000	7.703011e-001
1.667114624712844e-002	2.837014e-001	3.197036e-001
1.670337280962845e-002	2.324605e+000	1.170659e+000
1.673559937212845e-002	4.365166e+000	2.889219e+000
1.676782593462845e-002	6.405083e+000	4.895945e+000
1.683227905962845e-002	1.048178e+001	8.939672e+000
1.699341187212846e-002	2.064119e+001	1.905950e+001
1.734790405962847e-002	4.267153e+001	4.105004e+001
1.770239624712848e-002	6.394090e+001	6.229781e+001
1.805688843462850e-002	8.406999e+001	8.241243e+001
1.841138062212851e-002	1.026999e+002	1.010318e+002
1.876587280962852e-002	1.194982e+002	1.178222e+002
1.912036499712854e-002	1.341656e+002	1.324835e+002
1.947485718462855e-002	1.464404e+002	1.447537e+002
1.982934937212856e-002	1.561036e+002	1.544136e+002
2.018384155962858e-002	1.629831e+002	1.612908e+002
2.053833374712859e-002	1.669560e+002	1.652624e+002
2.089282593462860e-002	1.679516e+002	1.662577e+002
2.124731812212862e-002	1.659520e+002	1.642588e+002
2.160181030962863e-002	1.609930e+002	1.593013e+002
2.195630249712864e-002	1.531630e+002	1.514739e+002
2.231079468462866e-002	1.426016e+002	1.409163e+002
2.266528687212867e-002	1.294971e+002	1.278169e+002
2.301977905962869e-002	1.140833e+002	1.124097e+002
2.337427124712870e-002	9.663508e+001	9.497017e+001
2.372876343462871e-002	7.746350e+001	7.581026e+001
2.408325562212873e-002	5.691050e+001	5.527361e+001
2.443774780962874e-002	3.534261e+001	3.373130e+001
2.472778687212875e-002	1.720961e+001	1.563823e+001
2.485669312212875e-002	9.071522e+000	7.538572e+000
2.488891968462876e-002	7.032902e+000	5.516977e+000
2.492114624712876e-002	4.993244e+000	3.504085e+000
2.495337280962876e-002	2.952849e+000	1.626053e+000
2.498559937212876e-002	9.120185e-001	3.763452e-001
2.501782593462876e-002	-1.128947e+000	4.295095e-001
2.505005249712876e-002	-3.169745e+000	1.785021e+000
2.508227905962876e-002	-5.210076e+000	3.716937e+000
2.511450562212876e-002	-7.249638e+000	5.731441e+000
2.521118530962877e-002	-1.336070e+001	1.180397e+001
2.540454468462878e-002	-2.552149e+001	2.392798e+001
2.575903687212879e-002	-4.741810e+001	4.579096e+001
2.611352905962880e-002	-6.846910e+001	6.682239e+001
2.646802124712882e-002	-8.829907e+001	8.663892e+001
2.682251343462883e-002	-1.065544e+002	1.048844e+002
2.717700562212884e-002	-1.229095e+002	1.212320e+002
2.753149780962886e-002	-1.370728e+002	1.353895e+002
2.788598999712887e-002	-1.487916e+002	1.471040e+002
2.824048218462888e-002	-1.578569e+002	1.561663e+002
2.843384155962889e-002	-1.616235e+002	1.599316e+002
2.878833374712890e-002	-1.662880e+002	1.645946e+002
2.914282593462892e-002	-1.679870e+002	1.662931e+002
2.949731812212893e-002	-1.666903e+002	1.649968e+002
2.985181030962894e-002	-1.624210e+002	1.607289e+002
3.020630249712896e-002	-1.552552e+002	1.535654e+002
3.056079468462897e-002	-1.453207e+002	1.436344e+002
3.091528687212898e-002	-1.327947e+002	1.311131e+002
3.126977905962899e-002	-1.179005e+002	1.162252e+002
3.162427124712901e-002	-1.009038e+002	9.923660e+001
3.197876343462902e-002	-8.210762e+001	8.045130e+001
3.233325562212903e-002	-6.184722e+001	6.020591e+001
3.268774780962905e-002	-4.048388e+001	3.886523e+001
3.297778687212906e-002	-2.245042e+001	2.086399e+001
3.300000000000000e-002	-2.105598e+001	1.947305e+001
Step Information: C=10µ  (Run: 2/4)
